,order_id,uuid_x,customer_id,created_at,updated_at,location_id,location_table_id,notes,status,total,order_method,order_number,sub_total,expires_at,delivery_fee,is_reported,report_message,address_id,delivery_date,status_class,id,uuid_y,action_at,admin_id,comment,action_type,order_seconds
381,180,cl2qa1oqt86490ns63syrz8o5,10.0,2022-05-03 15:00:06.149,2022-05-03 15:05:56.611,6.0,,,PAYMENT_PENDING,10.5,DINE_IN,522466409.0,10.0,2022-05-05 15:00:06.147,0.0,False,,,,3.0,389,cl2qa975u88040ns6sutor0l0,2022-05-03 15:05:56.610,,,PAYMENT_PENDING,0.0
382,171,cl2pi1nt110980ns6o0oqhj50,10.0,2022-05-03 01:56:15.685,2022-05-03 01:56:53.616,6.0,,,PAYMENT_PENDING,10.5,DINE_IN,522233422.0,10.0,2022-05-05 01:56:15.683,0.0,False,,,,3.0,355,cl2pi1nt111000ns6gpdog1t8,2022-05-03 01:56:15.685,,,OPEN,0.0
383,171,cl2pi1nt110980ns6o0oqhj50,10.0,2022-05-03 01:56:15.685,2022-05-03 01:56:53.616,6.0,,,PAYMENT_PENDING,10.5,DINE_IN,522233422.0,10.0,2022-05-05 01:56:15.683,0.0,False,,,,3.0,356,cl2pi2h2n12270ns6raavw6px,2022-05-03 01:56:53.615,,,PAYMENT_PENDING,0.0
384,175,cl2q8c4xp19510ns60i38743u,10.0,2022-05-03 14:12:14.461,2022-05-03 14:18:39.307,6.0,,,PAYMENT_PENDING,21.0,DINE_IN,522545121.0,20.0,2022-05-05 14:12:14.457,0.0,False,,,,3.0,378,cl2q8c4xp19530ns65cfk4ij7,2022-05-03 14:12:14.461,,,OPEN,0.0
385,175,cl2q8c4xp19510ns60i38743u,10.0,2022-05-03 14:12:14.461,2022-05-03 14:18:39.307,6.0,,,PAYMENT_PENDING,21.0,DINE_IN,522545121.0,20.0,2022-05-05 14:12:14.457,0.0,False,,,,3.0,379,cl2q8cjgd20190ns6km523mj4,2022-05-03 14:12:33.277,,,PAYMENT_PENDING,0.0
386,185,cl2qfl5a2200610ns6mi3ytd9k,10.0,2022-05-03 17:35:12.122,2022-05-03 17:38:25.851,6.0,,,OPEN,42.0,DINE_IN,522106615.0,40.0,2022-05-05 17:35:12.120,0.0,False,,,,1.0,404,cl2qfl5a2200630ns6gx8fyit3,2022-05-03 17:35:12.122,,,OPEN,0.0
387,161,cl2p3r9ud02580ns6dzwf3m9g,10.0,2022-05-02 19:16:16.405,2022-05-03 04:39:49.170,6.0,,,PENDING,10.5,DINE_IN,522095021.0,10.0,2022-05-04 19:16:16.403,0.0,False,,,,2.0,340,cl2p3r9ue02600ns66jfuwiuw,2022-05-02 19:16:16.406,,,OPEN,0.0
388,161,cl2p3r9ud02580ns6dzwf3m9g,10.0,2022-05-02 19:16:16.405,2022-05-03 04:39:49.170,6.0,,,PENDING,10.5,DINE_IN,522095021.0,10.0,2022-05-04 19:16:16.403,0.0,False,,,,2.0,341,cl2p3rh6k03290ns6evyb6cmm,2022-05-02 19:16:25.916,,,PAYMENT_PENDING,0.0
389,161,cl2p3r9ud02580ns6dzwf3m9g,10.0,2022-05-02 19:16:16.405,2022-05-03 04:39:49.170,6.0,,,PENDING,10.5,DINE_IN,522095021.0,10.0,2022-05-04 19:16:16.403,0.0,False,,,,2.0,357,cl2pl2kw714940ns6kqv8qfg4,2022-05-03 03:20:57.415,1.0,,PENDING,0.0
390,161,cl2p3r9ud02580ns6dzwf3m9g,10.0,2022-05-02 19:16:16.405,2022-05-03 04:39:49.170,6.0,,,PENDING,10.5,DINE_IN,522095021.0,10.0,2022-05-04 19:16:16.403,0.0,False,,,,2.0,358,cl2pl2mkg15270ns6k5hftur0,2022-05-03 03:20:59.584,1.0,,PAYMENT_PENDING,0.0
391,161,cl2p3r9ud02580ns6dzwf3m9g,10.0,2022-05-02 19:16:16.405,2022-05-03 04:39:49.170,6.0,,,PENDING,10.5,DINE_IN,522095021.0,10.0,2022-05-04 19:16:16.403,0.0,False,,,,2.0,359,cl2pl2pjz15600ns6fay17xub,2022-05-03 03:21:03.455,1.0,,PENDING,0.0
392,161,cl2p3r9ud02580ns6dzwf3m9g,10.0,2022-05-02 19:16:16.405,2022-05-03 04:39:49.170,6.0,,,PENDING,10.5,DINE_IN,522095021.0,10.0,2022-05-04 19:16:16.403,0.0,False,,,,2.0,360,cl2pnvxqe39530ns66nptbup6,2022-05-03 04:39:46.310,1.0,,PAYMENT_PENDING,0.0
393,161,cl2p3r9ud02580ns6dzwf3m9g,10.0,2022-05-02 19:16:16.405,2022-05-03 04:39:49.170,6.0,,,PENDING,10.5,DINE_IN,522095021.0,10.0,2022-05-04 19:16:16.403,0.0,False,,,,2.0,361,cl2pnvzxs39860ns6ogjhndkr,2022-05-03 04:39:49.168,1.0,,PENDING,0.0
394,161,cl2p3r9ud02580ns6dzwf3m9g,10.0,2022-05-02 19:16:16.405,2022-05-03 04:39:49.170,6.0,,,PENDING,10.5,DINE_IN,522095021.0,10.0,2022-05-04 19:16:16.403,0.0,False,,,,2.0,362,cl2pnw7y540180ns61ntvsm6f,2022-05-03 04:39:59.549,1.0,holaa,COMMENT,0.0
395,161,cl2p3r9ud02580ns6dzwf3m9g,10.0,2022-05-02 19:16:16.405,2022-05-03 04:39:49.170,6.0,,,PENDING,10.5,DINE_IN,522095021.0,10.0,2022-05-04 19:16:16.403,0.0,False,,,,2.0,363,cl2pnx6be40460ns62i1v1afv,2022-05-03 04:40:44.090,1.0,asdfasd,COMMENT,0.0
396,161,cl2p3r9ud02580ns6dzwf3m9g,10.0,2022-05-02 19:16:16.405,2022-05-03 04:39:49.170,6.0,,,PENDING,10.5,DINE_IN,522095021.0,10.0,2022-05-04 19:16:16.403,0.0,False,,,,2.0,364,cl2pnxbbl40730ns66kck6akm,2022-05-03 04:40:50.577,1.0,asdfas,COMMENT,0.0
397,161,cl2p3r9ud02580ns6dzwf3m9g,10.0,2022-05-02 19:16:16.405,2022-05-03 04:39:49.170,6.0,,,PENDING,10.5,DINE_IN,522095021.0,10.0,2022-05-04 19:16:16.403,0.0,False,,,,2.0,365,cl2pnxqsa41000ns6xtzgg5y4,2022-05-03 04:41:10.618,1.0,asdfasdfasdf,COMMENT,0.0
398,161,cl2p3r9ud02580ns6dzwf3m9g,10.0,2022-05-02 19:16:16.405,2022-05-03 04:39:49.170,6.0,,,PENDING,10.5,DINE_IN,522095021.0,10.0,2022-05-04 19:16:16.403,0.0,False,,,,2.0,366,cl2pny8qa41280ns6eorkt8zf,2022-05-03 04:41:33.874,1.0,asdfasdf,COMMENT,0.0
399,161,cl2p3r9ud02580ns6dzwf3m9g,10.0,2022-05-02 19:16:16.405,2022-05-03 04:39:49.170,6.0,,,PENDING,10.5,DINE_IN,522095021.0,10.0,2022-05-04 19:16:16.403,0.0,False,,,,2.0,367,cl2pnybsv41550ns6kdvx3kxc,2022-05-03 04:41:37.855,1.0,443434,COMMENT,0.0
400,161,cl2p3r9ud02580ns6dzwf3m9g,10.0,2022-05-02 19:16:16.405,2022-05-03 04:39:49.170,6.0,,,PENDING,10.5,DINE_IN,522095021.0,10.0,2022-05-04 19:16:16.403,0.0,False,,,,2.0,368,cl2pnzeey42500ns6wnkpsof2,2022-05-03 04:42:27.898,1.0,asdfas\,COMMENT,0.0
401,176,cl2q8mdo027270ns6ync87bst,10.0,2022-05-03 14:20:12.336,2022-05-03 14:20:47.281,6.0,,,PAYMENT_PENDING,10.5,DINE_IN,522655467.0,10.0,2022-05-05 14:20:12.334,0.0,False,,,,3.0,380,cl2q8mdo027290ns60ebhg5mt,2022-05-03 14:20:12.336,,,OPEN,0.0
402,176,cl2q8mdo027270ns6ync87bst,10.0,2022-05-03 14:20:12.336,2022-05-03 14:20:47.281,6.0,,,PAYMENT_PENDING,10.5,DINE_IN,522655467.0,10.0,2022-05-05 14:20:12.334,0.0,False,,,,3.0,381,cl2q8n4mo28580ns68s75p1zh,2022-05-03 14:20:47.280,,,PAYMENT_PENDING,0.0
403,172,cl2q5pwfw00990ns6yzk8sk6o,10.0,2022-05-03 12:58:57.788,2022-05-03 12:59:07.221,6.0,,,PAYMENT_PENDING,10.5,DINE_IN,522965033.0,10.0,2022-05-05 12:58:57.785,0.0,False,,,,3.0,372,cl2q5pwfw01010ns66mcc6jm5,2022-05-03 12:58:57.788,,,OPEN,0.0
404,172,cl2q5pwfw00990ns6yzk8sk6o,10.0,2022-05-03 12:58:57.788,2022-05-03 12:59:07.221,6.0,,,PAYMENT_PENDING,10.5,DINE_IN,522965033.0,10.0,2022-05-05 12:58:57.785,0.0,False,,,,3.0,373,cl2q5q3pw01750ns6b1vbu8g4,2022-05-03 12:59:07.220,,,PAYMENT_PENDING,0.0
405,181,cl2qacwkh88730ns65o85znvn,10.0,2022-05-03 15:08:49.505,2022-05-03 15:11:06.849,6.0,,,PAYMENT_PENDING,10.5,DINE_IN,522936874.0,10.0,2022-05-05 15:08:49.491,0.0,False,,,,3.0,390,cl2qacwkh88750ns6fm8jsrty,2022-05-03 15:08:49.505,,,OPEN,0.0
406,181,cl2qacwkh88730ns65o85znvn,10.0,2022-05-03 15:08:49.505,2022-05-03 15:11:06.849,6.0,,,PAYMENT_PENDING,10.5,DINE_IN,522936874.0,10.0,2022-05-05 15:08:49.491,0.0,False,,,,3.0,391,cl2qafujk89950ns6ondnhc60,2022-05-03 15:11:06.848,,,PAYMENT_PENDING,0.0
407,177,cl2q8xma751520ns6vtvkrdfz,10.0,2022-05-03 14:28:56.719,2022-05-03 14:29:11.260,6.0,,,PAYMENT_PENDING,6.3,DINE_IN,522072271.0,6.0,2022-05-05 14:28:56.718,0.0,False,,,,3.0,382,cl2q8xma851540ns65ny77n7x,2022-05-03 14:28:56.720,,,OPEN,0.0
